annotation_example,case,author,doc_id,snippet
8,snippet_same_author_diff_doc_dev_out,Hindawi_26,51519061,"ومن المؤكَّد أن تأليف الموالد أقدم من ذلك؛ فقد استُعْمِلت لفظة «مولد» بمعنى «تاريخ» منذ عهد بعيد، وللواقدي كتاب اسمه: «مولد الحسن والحسين».
(٢)
لا جدال في أن المسلمين اهتموا منذ عهد بعيد بتدوين أخبار الرسول، أما وضع القصص الخيالية
"
8,snippet_diff_author_same_corpus_dev_out,Hindawi_60,39308197,"وخرجتُ وصديقي من هذا المتحف الرائع ونحن نتمنَّى دِعاية أكثر له في أوساط الشباب من الطلبة الذين لا بُدَّ وأنهم يدرسون أحمد شوقي في مرحلة من مراحل تعليمهم، وما يمكن للمدارس والكليات من تنظيم زياراتٍ لهم إلى هذا المتحف للاستفادة
"
8,snippet_same_author_diff_doc_dev_in,Hindawi_26,19139738,"وكم حبيب براح الريق أسكرني
وكم جميل بورد الخد حياني
•••
يا موقد النار في صدري مؤججة
وقاطنًا بين أنهار وريحان
عرِّج عليَّ فما نفسي بصابرة
على نواك وما طرفي بوسنان
مع الصورة
سكنت إلى النوى ونسيت صبًّا
نحيلًا كاد
"
8,snippet_diff_author_same_corpus_dev_in,Hindawi_72,17919704,"لقد أثير جدل كثير حول ما كتبه الأستاذ الزيات، ونحن مترقبون قولكم في هذا الخلاف …
عبد العظيم إبراهيم المطعني
كلية الدراسات العربية
إن ما قرره الأستاذ الزيات صحيح، ولا يغض من صحته ما ذكرتموه من الوقائع والأدلة التاريخية؛ لأن
"
16,main,Hindawi_71,42702649,"•••
فإذا كان الفصل الثاني فنحن حيث كنا في الفصل الأول من الغد، و«جاكلين» منصرفة إلى أعمال بيتها تأمر خادمها ببعض الشأن. ونحن نحس أنها تألم وأنها ترى أن قد أهينت في كرامتها وكبريائها، ولكنها لا تقول شيئًا، ولا تظهر
"
16,snippet_same_author_diff_doc_dev_out,Hindawi_71,60473902,"ثم أخرج من تحت وسادته علبة صغيرة من الذهب، أشبه شيء بعلب النشوق التي يصطنعها الشيوخ في مصر، وقال: احتفظ بها ولا تفتحها إلا حين يطلب ذلك إليك صديقنا بريبيش، واحفظ عني هاتين الصيغتين تستقبل بأولاهما النهار وبآخرهما المساء ما
"
16,snippet_diff_author_same_corpus_dev_in,Hindawi_85,42740640,"– مات الملك سيف بن ذي يزن، يا للخيانة!
•••
روعت ديار مصر على خبر غدر «تلك الجارية الفارسية» بملكهم المحبوب سيف بن ذي يزن، وكثرت الأقاويل والآراء والشائعات التي سرت من فم إلى فم على طوال البلاد وعرضها.
–
"
16,snippet_diff_author_diff_corpus_dev_out,Gumar_248,00669,"ضحكت سارا الله معك
ربى تناظر الغرفة سروي غرفتك تدفي
ابتسمت أكيد مو مثل دفى طلال
ضربتها بخفه وإحراج حمـ###
ضحكت يمكن عشان ألوانها تدرين ألوان الأحمر.. الأورنج مع البني ع قولتك تدفي لأنها ألوان حاره
لفتت نظرها المكتبة الخشبية
"
16,snippet_same_author_same_doc,Hindawi_71,42702649,"وقد فهمنا من كل هذا أنها تجد لذة في الحديث إلى الفتى، وأن الفتى مفتون باستماع حديثها. وهما في ذلك وقد تقدم الليل وإذا «مكسيم» قد أقبل ولم يكن منتظرًا، إنما كانت تنتظر عودته من الغد. أقبل فلم يجد أحدًا
"
16,snippet_same_author_diff_doc_dev_in,Hindawi_71,14820685,"فواضح أن نشر هذه الرسائل يُؤيد سياسة أوكتاف ويُؤَلِّبُ الناس على أنطوان، وقد نُشرت هذه الرسائل بالضبط في الوقت الذي كان الخصمان فيه يتهيآن للحرب التي انتصر فيها أوكتاف.
وهنا تثار مسألتان خطيرتان؛ إحداهما: تتصل بالتاريخ قبل كل شيء، وهي
"
16,snippet_diff_author_diff_corpus_dev_in,Gumar_12,00241,"مدى انقهرت منه..بجد بدونه ما راح تقدر تسوي شي...سكتت بس نظراتها الحارقه كانت تكفي انها ترد على كلام ضاري اللي جرحها..
ضاري يطالعها بعين قويه..بس من داخل ضعيفه واحترقت ورمدت.. ما تحمل اكثر..طلع وخلاهم..
ابتهال تبعت منهم: مدى...ترى مو وقاك
"
16,snippet_diff_author_same_corpus_dev_out,Hindawi_37,19028174,"وهي ترد إليه ﺑ: سيدي ابن الإنسان.
والأغرب في الأمر، في النوم، أنهم جميعًا حلموا حلمًا واحدًا، حلمًا شاسعًا وكبيرًا، كان الموكب العظيم ينطلق من المغارة ذاتها، تتقدمه المرايم والنساء الكثيرات اللائي قدمن من نيالا وكاس وزالنجي مؤمنات ومحبات، كان
"
33,main,Gumar_214,01185,"أبو سعود: أوكي آخر وحده
أم سعود بضحكــة: هههه أوكي
.. في المستشفى ..
بعد ساعــة .. من التحاليل .. الدكتورة وهي تبتسم: ألف مبروك المدام حامل
سعود بفــرح : حامـــــــل !!
رنيم بفرح : يعني بصير أم !! سعوود
"
33,snippet_diff_author_diff_corpus_dev_in,Hindawi_6,50357186,"أحسست بنوعٍ حرامٍ من الراحة، ولكني لم أستمتع به؛ ففي الحال تذكرت سانتي ولم يلبث قلقي عليها أن اكتسح أمامه كلَّ شعورٍ آخَر، فإذا كان كشف الأمر سيريحني فهو حتمًا سيسبب لها المتاعب، سألت شوقي إن كانوا قد أبلغوها القرار
"
33,snippet_same_author_same_doc,Gumar_214,01185,"يات تبي تتكلم بس تحس إلسانها مربوط .. دلال:...................
مسك يدها ورفعها لشفايفه وياس كل صبع .. حس برجفتها .. أحمد بحب: تدرين يا قلبي من لما طاحت عيني عليج حسيت قلبي بيطلع من مكانه..
دلال:........................
قرب منها أكثر ..
"
33,snippet_diff_author_diff_corpus_dev_out,Hindawi_82,79405794,"واجتاز كسرى في بعض حروبه برجل قد استظل بشجرة وألقى سلاحه وربط دابته فقال له: يا نذل، نحن في الحرب، وأنت بهذه الحالة؟ فقال: أيها الملك، إنما بلغت هذا السن بالتوقي.
وصف المحتج لانهزامه بخوفه من القتل
قيل لرجل إنك
"
33,snippet_same_author_diff_doc_dev_out,Gumar_214,00270,"كيف ماتضوي والكل حــــاضر وموجــــــــود
بشـــــوق المحبة نلتقي من سعــــــدها
عروسنا العروسة ياكل الحسن فيها موجود
يغـــــار منهــــا البدر من طلة هدبــــــها
عروسنا العروسة يابنت الاصل يابنت الجود
فيــــك القصـــــــــايد ماتوفي سببـــــها
عريسنا العريس ياكل الشهـــــامة بــــــلا زود
ولد الرجــــــــــال
"
33,snippet_same_author_diff_doc_dev_in,Gumar_214,00825,"هزت راسها وهي تبتسم .. فاتي: إن شاء الله .. تحملي بروحج
ظبية وهي تبتسم: يلاا نهلة النداء الأخير
نهلة وهي تهز راسها: إن شاء الله وإنتي بعد
.. مشت عنها وهي تحس بـ فرحة لـ رجوعها أخيراً لـ بلاادها
"
33,snippet_diff_author_same_corpus_dev_out,Gumar_435,00533,"العنود:وش هي تراك خوفتيني
حلا بابتسامه:لا تخافين روحي والله يوفقك
العنود ابتسمت وراحت مع غزلان ودخلت مع سليمان اللي ينتظرها
أول ما دخلت ما قدرت ترفع عيونها وتطالع الإنسان اللي قدامها
سليمان:السلام عليكم
مصعب:وعليكم السلام
العنود شبهت على الصوت بس
"
33,snippet_diff_author_same_corpus_dev_in,Gumar_20,00028,"راكان :-ههههههههههههههههههههههه n70
دانه :- هههههههههههههههههههه اعرفك تحبه
راكان :-ماعندي وقت اغير في الجوالات هو يتصل ويرسل خلاص ينفع وبعدين تعودت عليه
دانه :-هههههههههههههههههههههههه عشان كذا انا محترمه نفسي وشريته لك
قال بحب :-تسلمين قلبووووووووووووو
وغمز لها وهمس لها بكلام
"
26,main,Hindawi_133,75241938,"«يِدِّي الْحَلَقْ لِلِّي بَلَا وْدَانْ» يدي: يعطي. والودان (بكسر الأول): الآذان. يُضرَب لمن ينال شيئًا لا حاجة به إليه، ويُحْرَم مستحقه منه. وفي معناه ما ذكره البلوي في رحلته «تاج المفرق في تحلية علماء المشرق.» قال: مدح أبو الحسن بن
"
26,snippet_same_author_diff_doc_dev_out,Hindawi_133,69073918,"الكتيبة: (اللسان ج٢ أواخر ص١٩٥) الكتيبة: ما جمع فلم ينتشر، وقيل هي الجماعة المستحيزة من الخيل؛ أي في حيز على حِدَة، وقيل: الكتيبة جماعة الخيل إذا أغارت من المائة إلى الألف، والكتيبة: الجيش، وفي حديث السَّقِيفة: نحن أنصار الله وكتيبة
"
26,snippet_same_author_diff_doc_dev_in,Hindawi_133,93047907,"(١٤٠)
ريحة البر ولا عدمه، وذُكر في: ريح، والبر، هنا معروف.
الكنايات:
(١)
انقطع سبحه، وذُكر في: سبح.
(٢)
ما يتلبسش عليه تياب، وذُكر في: توب.
(٣)
موش من توبه، وذُكر في: توب.
(٥) البلاغة
(٥-١) الجناس
(١)
أجود من
"
26,snippet_diff_author_diff_corpus_dev_in,Gumar_248,00311,"لنى ما ردت عليه وهي تحس إيدها بتنفصل من ثقله شالته ع الجهة الثانية وكل شوي تبدل بيدها عشان ما تتعب
صالح يطالع من طرف عينه باختلاس ااااه لنوو حبيبتي اش أسوي تعبت وربي تعبت منك شافها تتعثر بمشيتها مع
"
26,snippet_diff_author_same_corpus_dev_in,Hindawi_10,82857304,"مُنًى إن تكن حقًّا فتلك هي المُنى
وإلا فقد عِشْنا بها زمنًا رغدا
للثقافة منبعان: دِينٌ حافل بالرموز والأسرار، وخيالٌ يحلم بالجمال فيخلقه، وكلاهما انبثقا من لبنان فعمَّا البحار وما وراءها، أبصر اللبناني جبلًا قلق المجاز وبحرًا مكارًا لا يُؤخَذ
"
26,snippet_same_author_same_doc,Hindawi_133,75241938,"«يِقْتِلِ الْقَتِيلْ وِيِمْشِي فِي جَنَازْتُهْ» الجنازة قليلة الاستعمال عندهم إلا في نحو الأمثال، وأكثر ما يستعملون في معناها المَشْهَد. يُضرَب لمن بلغ في الدهاء مبلغًا عظيمًا.
«يِقِيمْ السِّطِيحَهْ وِيْهِدِّ الشَّمْخِ الْعَالِي» السطيحة: الشيء المسطوح. والشَّمْخ (بفتح فسكون): الشامخ؛ أي: الصرح
"
26,snippet_diff_author_same_corpus_dev_out,Hindawi_21,49386150,"– وإيه أخبار فؤادة؟
– فؤادة في الخيمة.
– فكرت أزورها لكن خفت يضربوني بالطوب.
– ليه يضربوكي؟
– إنت عارف ليه؟
– عشان غيرت أقوالك يا كوكب؟
– أيوه.
– كلنا بنغلط، المهم عدم الاستمرار في الخطأ.
– جلال
"
26,snippet_diff_author_diff_corpus_dev_out,Gumar_435,00533,"مرت سنه ونصف على أبطالنا
ماذا حدث خلال هذي السنه؟
انين خطبها هاني وتزوجته وسافرت معاه علشان يدرس أمور في علم النفس ويطور من معرفته ويصير من أفضل أطباء علم النفس
أما انين فراح تكمل دراستها وتأخذ الماجستير في إدارة
"
1,main,Hindawi_1,94868139,"– عرفة! الله يسامحه. قتل الجبلاوي، ثم أعطى الناظر سحره وذهب.
فقال حنش بحزن: كان من أولاد حارتنا الطيبين لكن الحظ خانه، كان يريد لكم ما أراد جبل وعرفة وقاسم، بل وأحسن مما أرادوا.
فحدجته المرأة بنظرة ارتياب، ثم قالت
"
1,snippet_diff_author_same_corpus_dev_out,Hindawi_37,19028174,"وعندما شاهدها عرفها، بل إنه يعلم بها منذ أن كان وأن كانت، فناداها بالحبيبة مريم، ونادته بسيدي ابن الإنسان، تعانقا عميقًا وطويلًا وجميلًا، نعم أحبها كما يحب رجل امرأة، فكلاهما بشر، هو رجل وهي امرأة، كلاهما ابن وبنت الإنسان، ويعرف
"
1,snippet_same_author_same_doc,Hindawi_1,94868139,"فركله في بطنه فسقط يتلوى. وانقضَّ عليه الرجال ففعلوا به ما فعلوه بزوجته ثم حملوا الجوالين خارجًا، ومضوا بهما نحو الخلاء. وما لبثت عواطف أن أُغمي عليها، ولكن بقي هو يعاني العذاب. إلى أين يسيرون بهما؟ وماذا أعدوا لهما من
"
1,snippet_same_author_diff_doc_dev_in,Hindawi_1,29179502,"– رصاص؟!
– غير معقول، ألم يصرحوا بالمظاهرة؟
– أسقطت من حسابك الغدر؟
– ولكن لا أرى جنودًا؟!
– حديقة الأزبكية معسكر هائل مكتظ بهم.
– لعلها فرقعة عجلة سيارة.
– لعلها.
أرهف أذنيه لما يدور حوله من دون أن
"
1,snippet_same_author_diff_doc_dev_out,Hindawi_1,39429258,"٤٧
واجتمع بعاشور ليلًا يونس السايس وجليل العالم. كانا واضحي القلق، وقال شيخ الحارة: المأمول ألَّا يقع ما يقتضي تدخُّل الشرطة.
فقال عاشور في استياء: كم من جرائم ارتُكبت تحت بصرك وكانت تقتضي تدخُّل الشرطة.
فقال الرجل بلهفة: معذرة، إنك
"
1,snippet_diff_author_same_corpus_dev_in,Hindawi_82,52849381,"############################################################
غسان بن جهضم وزوجته أم عقبة
كان غسان بن جهضم مفتونًا بحب ابنة عمه أم عقبة، وكانت من أجمل النساء وأحسنهن وأفضلهن خصالًا، فلما حضرته الوفاة جعل ينظر إليها ويبكي، ثم قال لها: إني منشدك أبياتًا أسألك فيها عما
"
1,snippet_diff_author_diff_corpus_dev_out,Gumar_20,00240,"ريوف:بسااافر
هند فاتحه عيونها:وين؟؟؟
ريوف:لهلي أمريكا
هند:هاااا قولي والله من صجك؟؟رايحه معك رايحه معك عساني لو اتعلق بجناح الطياره ههههههه
ريوف:والله فكره حلوة لا تذكره ولا هم يحزنون..
هند:ايوه انتي ما تعرفين ان انا ام افكار خطيره،، بعدين اذا رحتي
"
1,snippet_diff_author_diff_corpus_dev_in,Gumar_214,00269,"رغد وهي تلف الجهة الثانية وبصوت مليان نوم: بابا خلني نايمة بس شوي وبقوم
ابتسم على كلمتها وحب شوي يلعب عليها .. سعد: لاااا بسج نووم يلااا قومي وراج جامعة قوومي لااا تتأخرين على الإمتحان
رغد من سمعت سيرة الإمتحان
"
39,main,Gumar_496,01071,"وتلك الاوجاع العقيمه تنسفها خلف ظهرها بغفله عن كل شيء..
حركت اناملها بشعره بهدوء تعتقد بأنها مسايره بينما هو شيء داخلي عفوي بدأ يطل برأسه لها..
همس بخفوت لها..وشاعري نوعاً ما..\ البحر الاحمر سبب لونه ســهم جـــدّه ومن كثر عشقه
"
39,snippet_diff_author_diff_corpus_dev_in,Hindawi_32,61379142,"يقول الله تعالى: وَلَكُمْ فِي الْقِصَاصِ حَيَاةٌ.
(١)
بدأ الآية بقوله وَلَكُمْ، وهذا قَيْدٌ يجعل هذه الآية خاصة بالإنسانية المؤمنة التي تطلب كمالَها في الإيمان، وتلتمس في كمالها نظام النفس، وتُقرِّر نظام النفس بنظام الحياة؛ فإذا لم يكن هذا متحققًا
"
39,snippet_same_author_diff_doc_dev_in,Gumar_496,01072,"وبإذن الله سوف يأتيهم ذاك الطفل قريباً...
.
.
.
الأرصفه...صنعت للمنتظرين...!
..
.
الأرصفه...صنعت للمنتظرين...!
.
.
.
فتحت عينيها وبقت تنظر لـسقف وهي تشعر بـ أن الحمل متعب جداً لأنها بدأت تشعر بـحركته...
وضعت يدها عليه...وهي تردد أذكار
"
39,snippet_diff_author_same_corpus_dev_in,Gumar_69,00091,"منى :ول ول كلتوني وينكم يانيف وحمد تشوفون حريمكم شوي عروقهم بتنط
دانه وهنادي :ههههههههههههههههههههههههه
هنادي :محد مونسنا كثرك
منى بغرور :اي عشان تعرفون قيمتي
الكل :هههههههههههههههههههههههههههههه
بدينا سهرتنا وجلسنا نتفرج على الافلام والاكل شغال والشرب بعدها جاوا راكان وبندر
"
39,snippet_same_author_diff_doc_dev_out,Gumar_496,00604,"وتقللـيين احترامي بـتسكيرة الخط بوجهي ..
ومأكأنك تكلمين زوجك الي احترامه وتقديره واجب عليك..
.وش خليتي لـبنت الاربع طعش من الجهل وحركات المراهقات...؟
.
.
.
مراهقات يازوج الثلاث..
لـيس هناك مراهقاً سواك...
تذهب برحلة علاج
لتلك التي تضج حياة...
"
39,snippet_diff_author_same_corpus_dev_out,Gumar_20,00240,"ريوف كانت لابسه العباية الجديده وطالعه عليها شي ومتشيله بشيله لونها اخضر مزرق وحاطه لها كحل خفيف وقلوس وطالعه جنان ونعومة
رائد لما لقى ريوف داخله استغرب ليه وش جايبها!!
........
وصلوا المطار
رائد مش مصدق:بتسافر معي؟؟!!
بو راشد:ايوه ريوف
"
39,snippet_same_author_same_doc,Gumar_496,01071,"الجموح بهدوء \الله يوفقهم نجد بعد تستاهل كل خير...بس الله يستر من خوياك انت..!
غرق بضحكه \ ليش أن شاء الله..خرجين سجون مثلاً..!
آبعدت البرتقال لـتشد لها تفاحه وأخذت تقطعها ...
من ثم تمدها ليده...ليمد يده أيضاً...لكن ليعانق كفها با
"
39,snippet_diff_author_diff_corpus_dev_out,Hindawi_34,69242916,"لقد جَرَحَ هذا الرَّجلُ منها كبرياءَ الملكة وغِيرة الأنثى؛ فليكن انتقامُها إذلالًا لكبريائه ولرجولته في وقتٍ معًا، وكذلك كان تدبيرها؛ فقد وثب عليه غلمانها في الحمام فانهالوا على رأسه ضربًا بالقباقيب وهم ينزعون أنثييه، ليموت حين يموتُ وقد تحطَّمت كبرياؤه
"
27,main,Hindawi_160,94207318,"(٢٧)
بدأ الكاتب الفرنسي أندريه مالرو (١٩٠١–١٩٧٦) حياته بدراسة اللغات الشرقية، وقضى بعض الوقت في آسيا منتقدًا سلطات الاستعمار الفرنسي في الهند الصينية. وعند عودته إلى فرنسا نشَر روايته الأولى في ١٩٢٦، وتبِعَتها «الفاتحون» في ١٩٢٨، و«الطريق الملكي» في ١٩٣٠،
"
27,snippet_diff_author_same_corpus_dev_out,Hindawi_22,60929519,"فقال فؤاد متمتمًا: أنا سعيد بهذه الثقة.
وأضافت علية: ولكني لست أدري إذا كان ذلك التدخل يُجْدِي.
وجاشت نفس فؤاد إذ تأمَّل موقفه الجديد منها، أهذه الثقة أحب إليه أم أحلامه الأولى؟
وسألها: أحقًّا قد تخلَّف صدقي لقضاء شئون لا
"
27,snippet_same_author_diff_doc_dev_out,Hindawi_160,30491917,"ضغطتُ الصورة على اللوح بأسطوانةٍ مطاطية لطرد الجيوب الهوائية. بعد حوالي ٥ دقائق قفزَت الصورة من تلقاء نفسها. وجدتُها أكثر نقاءً واضحة التباين، وبدا وجه هايدي مضيئًا وقد أحاطت به ظلالٌ قاتمة، أضفَت عليه مسحةً من الغموض.
وضعتُ الصورة جانبًا
"
27,snippet_same_author_same_doc,Hindawi_160,94207318,"(٣٠)
وجدتُ مثالًا للغرائبية التي تنشأ عن وصف حدثٍ ما أو شخصٍ ما، واقعيَّين، دون تحديد المكان والزمان الواقعيَّين، في هذه السطور للفنان حسن فؤاد عن تجربة مشاركته في تمثيل وإخراج مسرحية صلاح حافظ التي قُدِّمَت على مسرح سجن الواحات
"
27,snippet_diff_author_diff_corpus_dev_out,Gumar_230,00292,"فيصل: طبعأ كل انسان تجيه مشاكل بحياته والمشاكل هذي ممكن تخرب علاقات بين بعض الناس,,ووو انتوا صارت لكم مشاكل كثيرر ويمكن ماتعرفون مصدرها. مثل الرسايل والصور والمكالمه باخر اليل.ووو اشياء كثير..
سلطان وهوة رافع حاجبه:.!!!!!ايه وانت شدراك.؟
فيصل: المشاكل هذي
"
27,snippet_diff_author_diff_corpus_dev_in,Gumar_214,01185,"أبو سعود: أوكي آخر وحده
أم سعود بضحكــة: هههه أوكي
.. في المستشفى ..
بعد ساعــة .. من التحاليل .. الدكتورة وهي تبتسم: ألف مبروك المدام حامل
سعود بفــرح : حامـــــــل !!
رنيم بفرح : يعني بصير أم !! سعوود
"
27,snippet_same_author_diff_doc_dev_in,Hindawi_160,39426136,"تساءلتُ في حيرة: أين؟
– لم أكن أظن أنكَ بهذا الغباء. إسرائيل طبعًا. هناك أكثر من مليون وربع مليون فلسطيني يتعطَّشون لقراءة كلمة باللغة العربية.
أشعلَت سيجارةً جديدة، ولاحظَت أن يدي ثابتة.
استطردَتْ: اكتب لنا تفويضًا، ونحن نتولى الأمر كله.
"
27,snippet_diff_author_same_corpus_dev_in,Hindawi_74,41728357,"فبهت المنصور حتى ظنَّ نفسه في حلم، فقال: «دعه وأخبرني بما تعرفه عنه.»
قال: «لا أتركه حتى تأمر بالقبض عليه.»
فقالت ريحانة: «أتركه؛ فإني قابضة عليه، وسوف يعجز عن الفرار مني.»
١ ابن الأثير والفخري.
الفصل الثامن والسبعون
############################################################
الخاتمة
فتركه
"
5,main,Hindawi_12,86206252,"نكتفي — بعد المطلع السابق — بذكر بعض أبياتها التي تعبر عن أهم نقلاتها، وحركاتها التصويرية والشعورية (ويستطيع القارئ أن يرجع إلى نَصِّها الكامل وشرحها الفني الوافي في كتاب الشاعر الدكتور عبده بدوي وزميليه «الأدب وروح العصر»، منشورات ذات السلاسل،
"
5,snippet_diff_author_diff_corpus_dev_in,Gumar_248,00668,"رميت شنطتي وأشيائي أول ما خذتني خالتي يلدا وتاله بالأحضان
وحشتوووني
يلدا بحب يا قلبي البيت مو حلو بدونكم
قلت بحيا والله إني من أول تمنيت أكون معكم
راكان مد راسه وأنا مالي سلام
ضحكت أنت أكثر واحد وحشتني وميرا
"
5,snippet_same_author_diff_doc_dev_in,Hindawi_12,52615163,"يتهم صلاح بحزنه ويدان على حزنه. وقد ناقش هذه القضية في سيرة حياته وكفاحه مع الشعر (حياتي في الشعر)، وأكد أنه شاعر متألم لا شاعر حزين، والواقع أن حزنه هو حزن جيله كله، الجيل الذي خرج من عباءة الرومانتيكية العربية،
"
5,snippet_same_author_diff_doc_dev_out,Hindawi_12,14904926,"قوبل ديواناه «الرمل (المنساب) من أوعية الفخار» (١٩٤٨م) و«خشخاش وذاكرة» (١٩٥٢م) بالترحيب الشديد، وكشفا عن شاعر «جرحه الواقع وراح يبحث عن الواقع.» وعرف زيف المجتمع وأرَّقه الشوق إلى الإنسانية الحقة. ومهما اختلف النقاد في تفسير أشعاره التي تحتمل تفسيراتٍ عديدة
"
5,snippet_diff_author_diff_corpus_dev_out,Gumar_483,00587,"ليث:انا ماجاااج مني الا الي تسببتيبه لحالج
ظلت تبكي ورافضه انها تقووم
عتاب:زييين خلاااص........ قومي ياقوووته وعاااودي بيها للمغاره السالفه وكاد فيها شي
ساعدت شوق البدور توقف وخذتها لجوا المغاره
قماد عاود للي كانو واقفين لجل يستلمو وقال لهم بالي
"
5,snippet_diff_author_same_corpus_dev_out,Hindawi_10,37520352,"وقد نشر لقاسم أمين كتاب ثالث سمي «كلمات لقاسم بك أمين»، ومن هذه الكلمات قوله: «إن الذي مدحك بما ليس فيك إنما هو مخاطب غيرك.»
تعصب أهل الدين، وغرور أهل العلم هما منشأ الخلاف الظاهر بين الدين والعلم، لا تكمُل
"
5,snippet_same_author_same_doc,Hindawi_12,86206252,"(٦) هما الشاعران عبد يغوث الحارثي، ومالك بن الريب التميمي اللذان سبقت الإشارة إليهما.
(٧) عن بيتٍ ورد في أحد أناشيد الجوقة، في مسرحية «أنتيجونا» لسوفوكليس.
(٨) عن حكمةٍ مشهورةٍ للفيلسوف الرياضي المتصوف باسكال (١٦٢٣–١٦٦٢م).
(٩)
كاليبان Caliban هو اسم وحش
"
